id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,request_type,request_time,call_time,direct_drive_time
1,59.953709,10.510822,59.907635,10.563608,1,540,0.0,6
2,59.907635,10.563608,59.953709,10.510822,0,920,0.0,0
3,59.926579,10.435982,59.925662,10.452647,1,420,0.0,1
4,59.604146,10.749486,59.589146,10.666161,0,880,0.0,0
5,59.601353,10.660715,59.604056,10.749636,0,458,0.0,0
6,59.604056,10.749636,59.601353,10.660715,0,1180,1021.0,0
7,59.664603,10.767295,59.685945,10.753603,0,1055,701.0,0
8,59.7654,10.8832,59.750213,10.836925,1,420,0.0,4
9,59.780433,11.17557,60.101929,11.064498,0,795,527.0,0
10,59.569626,10.840697,59.604056,10.749636,1,420,0.0,7
11,59.604056,10.749636,59.569626,10.840697,0,1050,0.0,0
12,59.501431,10.686709,59.673779,10.655563,1,420,0.0,20
13,59.673779,10.655563,59.501431,10.686709,0,945,784.0,0
14,59.717324,10.776427,59.687647,10.775284,0,1035,0.0,0
15,59.687647,10.775284,59.717324,10.776427,1,420,0.0,4
16,59.799573,11.471548,59.927453,11.441955,1,720,498.0,15
17,59.927453,11.441955,59.799573,11.471548,0,910,709.0,0
18,59.949883,11.01193,59.975335,10.999218,0,600,412.0,0
19,59.971106,11.055236,59.929512,10.961269,0,920,0.0,0
20,59.95472,11.046121,59.9976,11.0178,0,900,0.0,0
21,59.9976,11.0178,59.95472,11.046121,1,480,0.0,6
22,59.922336,10.959432,59.965418,11.040337,0,900,603.0,0
23,59.965418,11.040337,59.922336,10.959432,0,500,0.0,0
24,59.962767,11.490105,59.982423,11.522346,0,1040,902.0,0
25,59.982423,11.522346,59.962767,11.490105,1,420,0.0,3
26,59.723207,11.466514,60.120953,11.46483,1,480,0.0,45
27,59.925523,11.065997,59.919986,10.978436,1,480,0.0,5
28,59.946029,11.210642,59.985346,11.240226,1,420,0.0,5
29,59.962767,11.490105,59.985844,11.509855,0,1040,581.0,0
30,60.066166,11.037068,59.929512,10.961269,0,935,762.0,0
31,59.903571,11.5926,59.950577,11.751773,0,1020,503.0,0
32,59.819997,11.486235,59.805357,11.517573,0,1035,0.0,0
33,59.941031,11.208179,59.928919,11.177064,1,480,0.0,3
34,59.718607,11.449937,59.697891,11.415723,0,960,679.0,0
35,60.29276,11.156628,60.319561,11.247243,1,540,393.0,6
36,60.319561,11.247243,60.29276,11.156628,0,910,395.0,0
37,60.251924,11.190737,60.155502,11.129748,0,910,580.0,0
38,60.155502,11.129748,60.251924,11.190737,1,480,0.0,12
39,60.021727,11.16407,60.022712,11.103292,1,420,0.0,4
40,60.120953,11.46483,59.723207,11.466514,0,900,481.0,0
41,60.439056,10.971875,60.4107,11.0593,1,420,0.0,6
42,60.4107,11.0593,60.439056,10.971875,0,1055,830.0,0
43,59.985346,11.240226,59.958734,11.205094,0,1025,828.0,0
44,60.287412,11.169635,60.441808,11.058327,0,1050,791.0,0
45,60.4107,11.0593,60.445138,10.964783,0,930,0.0,0
46,60.445138,10.964783,60.4107,11.0593,1,420,0.0,7
47,60.02092,11.226297,60.067222,11.259076,0,905,485.0,0
48,60.392616,11.214552,60.146554,11.18365,1,480,0.0,28
49,60.328985,11.248871,60.404994,11.243892,0,1020,0.0,0
50,60.404994,11.243892,60.328985,11.248871,1,420,0.0,9
51,60.101929,11.064498,59.780433,11.17557,1,600,0.0,37
52,59.985346,11.240226,59.946029,11.210642,0,1025,417.0,0
53,60.02092,11.226297,60.069193,11.265125,0,1050,720.0,0
54,60.4107,11.0593,60.425548,10.988553,0,1055,0.0,0
55,60.425548,10.988553,60.4107,11.0593,1,420,0.0,5
56,60.07601,11.138006,60.068261,11.214483,0,950,633.0,0
57,60.068261,11.214483,60.07601,11.138006,1,420,0.0,5
58,59.929512,10.961269,60.066166,11.037068,0,490,0.0,0
59,60.253327,11.59704,60.233793,11.561111,1,420,0.0,3
60,60.449762,10.801898,60.4107,11.0593,1,420,0.0,15
61,60.4107,11.0593,60.449762,10.801898,0,1055,0.0,0
62,60.123722,11.465924,60.157929,11.537761,0,1050,574.0,0
63,60.157929,11.537761,60.123722,11.465924,1,420,0.0,6
64,60.330172,11.214234,60.3913,11.199589,0,1040,399.0,0
65,60.3913,11.199589,60.328985,11.248871,1,420,0.0,8
66,60.25252,11.206106,60.300282,11.244182,0,1040,0.0,0
67,60.4107,11.0593,60.425148,10.915713,0,1050,668.0,0
