ScenarioName,TotalCost,nTaxi
Gen_Data_300_1,7152.053674930921,4
Gen_Data_300_1,6340.895426999858,3
Gen_Data_300_2,8267.869519783362,5
Gen_Data_300_2,9319.04034430875,6
Gen_Data_300_3,6390.813162037449,3
Gen_Data_300_3,10392.097029644228,7
Gen_Data_300_4,9183.816902776613,6
Gen_Data_300_4,6242.603990116404,3
Gen_Data_300_5,9391.691622755543,6
Gen_Data_300_5,11392.85217357373,8
Gen_Data_300_6,10300.610990151026,7
Gen_Data_300_6,10288.603902032559,7
Gen_Data_300_7,4343.511979714123,1
Gen_Data_300_7,5270.05309150601,2
Gen_Data_300_8,5266.6280794621725,2
Gen_Data_300_8,5226.133779187296,2
Gen_Data_300_9,11213.13755236077,8
Gen_Data_300_9,8291.546253218188,5
Gen_Data_300_10,5325.304433507333,2
Gen_Data_300_10,6237.497373082711,3
