BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_500_0.7_1,3252.434,6.506,19.2,51.0,55641.95700068275,23089.7681564685,5192.8,1.0,30653.6,9403.8,9891.8,0.0,0.0,500.0,51.0,3.582,0.976
Gen_Data_500_0.7_2,3360.3599999999997,6.7219999999999995,17.2,58.0,62595.3512186451,23860.54380786028,4846.8,0.6,31047.0,9930.6,10477.8,0.0,0.0,500.0,58.0,4.1562,1.0943999999999998
Gen_Data_500_0.7_3,3216.184,6.4319999999999995,13.4,48.2,52854.232017233226,23084.17067813356,5562.4,0.4,31025.6,9282.8,9749.0,0.0,0.0,500.0,48.2,3.0729999999999995,0.9324000000000001
Gen_Data_500_0.7_4,3208.604,6.4159999999999995,16.6,46.6,51256.56140811704,23942.665976203018,4539.2,0.8,30880.2,9619.6,9981.2,0.0,0.0,500.0,46.6,2.5953999999999997,0.7232000000000001
Gen_Data_500_0.7_5,3119.558,6.2379999999999995,17.8,31.4,36205.6540693901,23190.79095895578,5265.8,0.2,30926.0,9572.0,9956.8,0.0,0.0,500.0,31.4,2.7142,0.7696
Gen_Data_500_0.7_6,3247.384,6.494,19.6,50.0,54628.05910408421,23157.76585440138,5095.4,6.4,30627.2,9351.0,9787.8,0.0,0.0,500.0,50.0,3.5198,0.8736
Gen_Data_500_0.7_7,3222.792,6.446,24.4,46.8,51490.29574171218,23427.286896918864,5059.6,1.4,30878.4,9700.2,10211.2,0.0,0.0,500.0,46.8,3.2274000000000003,1.022
Gen_Data_500_0.7_8,3309.4019999999996,6.618,18.8,60.6,65098.024655304194,23341.68162712838,5031.2,1.0,30701.4,9800.8,10114.8,0.0,0.0,500.0,60.6,2.43,0.6279999999999999
Gen_Data_500_0.7_9,3449.214,6.9,13.4,64.4,68877.17780787383,23060.33277067559,5393.4,0.0,30763.4,9307.4,9713.2,0.0,0.0,500.0,64.4,2.8615999999999997,0.8116
Gen_Data_500_0.7_10,3311.0880000000006,6.622,20.8,41.4,46179.115385924626,23318.989916802053,5202.2,1.0,30949.8,9803.0,10381.8,0.0,0.0,500.0,41.4,4.6373999999999995,1.1576
